"","Tributary","ReachName","ReachID","Crew","Survey","Fishing","Visibility","Weather","Comments","Date","Season","Year","CohoIndividuals","SteelheadIndividuals","ChinookIndividuals","SalmonidSpIndividuals","CohoRedds","SteelheadRedds","ChinookRedds","SalmonidSpRedds"
"11","Green Valley Creek","GRE 2","RR-GRE-012.49:016.09","ZR EM","SS",NA,99,"OVERCAST",NA,2015-01-15,"2014-2015",2015,0,0,0,0,0,0,0,0
"12","Mill Creek","MIL 2","RR-MIL-003.03:005.75","JB ZR","SS",NA,99,"CLEAR SUNNY","SOME TEST DIGGING THROUGHOUT REACH",2015-01-21,"2014-2015",2015,0,0,0,0,0,0,0,0
"13","Palmer Creek","PAL 1","RR-PAL-000.00:002.75","WB EM ZS TB","SS",NA,-9999,"PARTLY CLOUDY","adult salmonid skin. Some smolts",2015-01-21,"2014-2015",2015,0,0,0,0,0,0,0,0
"14","Green Valley Creek","GRE 1","RR-GRE-007.80:012.49","DD SW LC","SS",NA,99,"OVERCAST",NA,2015-01-27,"2014-2015",2015,0,0,0,0,0,0,0,0
"15","East Austin Creek","EAU 1","RR-EAU-000.00:002.00","AN BB","SS",NA,99,"OVERCAST","NO FISH NO REDDS",2015-01-27,"2014-2015",2015,0,0,0,0,0,0,0,0
"16","Purrington Creek","PUR 1","RR-PUR-000.00:004.50","EM DD","SS",NA,99,"CLEAR SUNNY",NA,2015-01-29,"2014-2015",2015,0,0,0,0,0,0,0,0
"17","Pena Creek","PEN 4","RR-PEN-009.12:013.89","AN SW","SS",NA,99,"CLEAR SUNNY","No new fish or redds. Evidence of drying tailspills on redds.",2015-01-29,"2014-2015",2015,0,0,0,0,0,0,0,0
"18","Mill Creek","MIL 3","RR-MIL-005.75:009.98","HF DD","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-02-02,"2014-2015",2015,0,0,0,0,0,0,0,0
"19","Mill Creek","MIL 5","RR-ANG-000.00:000.50","TB SW WB","SS",NA,-9999,"CLEAR SUNNY",NA,2015-02-03,"2014-2015",2015,0,0,0,0,0,0,0,0
"20","Felta Creek","FEL 1","RR-FEL-000.00:001.83","BCB HF","SS",NA,99,"CLEAR SUNNY","NO FISH NO NEW REDDS, DRY FOR AROUND 100 YDS FROM MOUTH",2015-02-03,"2014-2015",2015,0,0,0,0,0,0,0,0
"21","Redwood Creek","RED 2","RR-RED-001.66:004.58","LC JB ZR ZS","SS",NA,99,"OVERCAST","No new fish, No New Redds, lots of algae",2015-02-05,"2014-2015",2015,0,0,0,0,0,0,0,0
"22","Green Valley Creek","GRE 2","RR-GRE-012.49:016.09","WB BW","SS",NA,-9999,"OVERCAST",NA,2015-02-11,"2014-2015",2015,0,0,0,0,0,0,0,0
"23","Purrington Creek","PUR 1","RR-PUR-000.00:004.50","SN AJ","SS",NA,0.6,"CLEAR SUNNY","NO FISH NO REDDS",2015-02-12,"2014-2015",2015,0,0,0,0,0,0,0,0
"24","Porter Creek","POR 3","RR-POR-004.65:006.83","HF WB","SS",NA,0.5,"CLEAR SUNNY","NO FISH NO REDDS",2015-02-12,"2014-2015",2015,0,0,0,0,0,0,0,0
"25","Green Valley Creek","GRE 2","RR-GRE-012.49:016.09","BW JS","SS",NA,1,"CLEAR SUNNY","THERMOMETER NOT WORKING",2015-01-05,"2014-2015",2015,0,0,0,0,0,0,0,0
"26","Green Valley Creek","GRE 2","RR-GRE-012.49:016.09","BW JS","SS",NA,1,"CLEAR SUNNY","THERMOMETER NOT WORKING",2015-01-05,"2014-2015",2015,0,0,0,0,0,0,0,0
"27","Pechaco Creek","PEC 1","RR-PEC-000.00:002.35","DD CM","SS",NA,3,"CLEAR SUNNY","Pechaco Creek connected at mouth but too shallow for fish passage, fish passage throughout reach is minimal at high gradient areas; No Fish and No redds observed ",2015-01-06,"2014-2015",2015,0,0,0,0,0,0,0,0
"28","Palmer Creek","PAL 1","RR-PAL-000.00:002.75","BW NB","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-01-07,"2014-2015",2015,0,0,0,0,0,0,0,0
"29","Grape Creek","GRP 2","RR-GRP-001.39:002.49","JE TB MOH","SS",NA,99,"PARTLY CLOUDY","NO FISH NO REDDS",2015-01-08,"2014-2015",2015,0,0,0,0,0,0,0,0
"30","Redwood Creek","RED 1","RR-RED-000.00:001.66","NB ZR","SS",NA,99,"OVERCAST","1ST SURVEY",2015-01-09,"2014-2015",2015,0,0,0,0,0,0,0,0
"31","Redwood Creek","RED 2","RR-RED-001.66:004.58","NB ZR","SS",NA,99,"OVERCAST","1ST SURVEY.",2015-01-09,"2014-2015",2015,0,0,0,0,0,0,0,0
"32","Maacama Creek","MAA 4","RR-695-000.00:000.60","JB AN","SS",NA,99,"CLEAR SUNNY","NO REDDS. Filled out recon sheet. First time surveying MAA 4. Wide channel with large cobble and very little canopy and boulder cover.",2015-01-14,"2014-2015",2015,0,0,0,0,0,0,0,0
"33","Pena Creek","PEN 5","RR-PEN-013.89:017.04","WB AN ZS","SS",NA,99,"OVERCAST","NO NEW FISH OR REDDS",2015-01-15,"2014-2015",2015,0,0,0,0,0,0,0,0
"34","Woods Creek","WOO 1","RR-DEA-000.00:001.03","AN ZS WB","SS",NA,99,"OVERCAST","NO NEW FISH OR REDDS",2015-01-15,"2014-2015",2015,0,0,0,0,0,0,0,0
"35","Pena Creek","PEN 1","RR-PEN-000.00:004.05","AJ ZR","SS",NA,99,"STEADY RAIN","OTTER AT US END OF REACH, fish skin found throughout reach",2015-01-16,"2014-2015",2015,0,0,0,0,0,0,0,0
"36","Pechaco Creek","PEC 1","RR-PEC-000.00:002.35","HF WB","SS",NA,99,"SHOWERS","NO FISH OR REDDS OBSERVED",2015-01-16,"2014-2015",2015,0,0,0,0,0,0,0,0
"37","Mill Creek","MIL 5","RR-ANG-000.00:000.50","BB ZR","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-01-20,"2014-2015",2015,0,0,0,0,0,0,0,0
"38","Dutch Bill Creek","DUT 2","RR-DUT-004.81:009.04","AN SW","SS",NA,99,"OVERCAST","NO NEW REDDS",2015-01-21,"2014-2015",2015,0,0,0,0,0,0,0,0
"39","Grape Creek","GRP 1","RR-GRP-000.00:001.39","BW ZR","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-01-22,"2014-2015",2015,0,0,0,0,0,0,0,0
"40","Wine Creek","WIN 1","RR-WIN-000.00:001.65","BW ZR","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-01-22,"2014-2015",2015,0,0,0,0,0,0,0,0
"41","Mark West Creek","MAR 10","RR-MAR-027.19:030.60","HF SW","SS",NA,99,"CLEAR SUNNY","water getting low",2015-01-26,"2014-2015",2015,0,0,0,0,0,0,0,0
"42","Mark West Creek","MAR 14","RR-MAR-040.18:042.85","DD EM","SS",NA,99,"PARTLY CLOUDY","Found salmonid lower jaw",2015-01-26,"2014-2015",2015,0,0,0,0,0,0,0,0
"43","Austin Creek","AUS 5","RR-AUS-009.86:012.13","EM HF","SS",NA,99,"OVERCAST",NA,2015-01-27,"2014-2015",2015,0,0,0,0,0,0,0,0
"44","Austin Creek","AUS 6","RR-AUS-012.13:015.94","JB WB","SS",NA,99,"OVERCAST","NO FISH NO NEW REDDS",2015-01-27,"2014-2015",2015,0,0,0,0,0,0,0,0
"45","Maacama Creek","MAA 4","RR-695-000.00:000.60","JB BW","SS",NA,99,"CLEAR SUNNY",NA,2015-01-28,"2014-2015",2015,0,0,0,0,0,0,0,0
"46","Green Valley Creek","GRE 2","RR-GRE-012.49:016.09","AN WB","SS",NA,99,"CLEAR SUNNY","NO NEW FISH NO REDDS. Algae covering most of substrate",2015-01-30,"2014-2015",2015,0,0,0,0,0,0,0,0
"47","Pena Creek","PEN 5","RR-PEN-013.89:017.04","SW ZR","SS",NA,99,"CLEAR SUNNY",NA,2015-01-05,"2014-2015",2015,0,0,0,0,0,0,0,0
"48","Pena Creek","PEN 3","RR-PEN-006.49:009.12","DD CM","SS",NA,3,"PARTLY CLOUDY","Entered Data in the office due to Allegro problems in the field ",2015-01-05,"2014-2015",2015,0,0,0,0,0,0,0,0
"49","Pena Creek","PEN 1","RR-PEN-000.00:004.05","ADJ WB","SS",NA,99,"CLEAR SUNNY",NA,2015-01-06,"2014-2015",2015,0,0,0,0,0,0,0,0
"50","Dutch Bill Creek","DUT 2","RR-DUT-004.81:009.04","HF ZS SW","SS",NA,99,"CLEAR SUNNY","Broken Thermometer no temps taken",2015-01-07,"2014-2015",2015,0,0,0,0,0,0,0,0
"51","Grape Creek","GRP 1","RR-GRP-000.00:001.39","JE MOH T","SS",NA,99,"PARTLY CLOUDY","NO FISH NO REDDS",2015-01-08,"2014-2015",2015,0,0,0,0,0,0,0,0
"52","Mark West Creek","MAR 12","RR-MAR-033.75:037.32","EM HF","SS",NA,99,"PARTLY CLOUDY",NA,2015-01-12,"2014-2015",2015,0,0,0,0,0,0,0,0
"53","Green Valley Creek","GRE 1","RR-GRE-007.80:012.49","ZR BW","SS",NA,-9999,"PARTLY CLOUDY",NA,2015-01-12,"2014-2015",2015,0,0,0,0,0,0,0,0
"54","Austin Creek","AUS 6","RR-AUS-012.13:015.94","AN JB","SS",NA,99,"CLEAR SUNNY","No fish seen",2015-01-13,"2014-2015",2015,0,0,0,0,0,0,0,0
"55","Austin Creek","AUS 5","RR-AUS-009.86:012.13","HF SW","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-01-13,"2014-2015",2015,0,0,0,0,0,0,0,0
"56","Kidd Creek","KID 1","RR-KID-000.00:001.67","DD BB","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-01-13,"2014-2015",2015,0,0,0,0,0,0,0,0
"57","Austin Creek","AUS 7","RR-AUS-015.94:018.53","AN JB","SS",NA,99,"CLEAR SUNNY","No fish or redds seen",2015-01-13,"2014-2015",2015,0,0,0,0,0,0,0,0
"58","Pena Creek","PEN 3","RR-PEN-006.49:009.12","AJ BB","SS",NA,99,"OVERCAST","RANDOM PARTS OF FISH WERE SEEN THROUGHOUT REACH",2015-01-15,"2014-2015",2015,0,0,0,0,0,0,0,0
"59","Felta Creek","FEL 1","RR-FEL-000.00:001.83","AJ ZR","SS",NA,99,"OVERCAST","no new redds or fish (possible passage barrier at mouth debris jam.)",2015-01-16,"2014-2015",2015,0,0,0,0,0,0,0,0
"60","Mill Creek","MIL 4","RR-MIL-009.98:014.06","BB ZR","SS",NA,99,"CLEAR SUNNY","no new redds or fish",2015-01-20,"2014-2015",2015,0,0,0,0,0,0,0,0
"61","Mill Creek","MIL 1","RR-MIL-000.00:002.46","HF EM ZS TB","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-01-20,"2014-2015",2015,0,0,0,0,0,0,0,0
"62","Santa Rosa Creek","SAN 8","RR-SAN-025.32:028.22","AN JB","SS",NA,99,"PARTLY CLOUDY","NO FISH NO REDDS",2015-01-22,"2014-2015",2015,0,0,0,0,0,0,0,0
"63","Grape Creek","GRP 2","RR-GRP-001.39:002.49","BW ZR","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-01-22,"2014-2015",2015,0,0,0,0,0,0,0,0
"64","Willow Creek","WIL 4","RR-WIL-006.15:009.16","EM HF","SS",NA,99,"CLEAR SUNNY",NA,2015-01-22,"2014-2015",2015,0,0,0,0,0,0,0,0
"65","Mark West Creek","MAR 11","RR-MAR-030.60:033.75","JB BW","SS",NA,99,"OVERCAST","NO FISH NO NEW REDDS",2015-01-26,"2014-2015",2015,0,0,0,0,0,0,0,0
"66","Kidd Creek","KID 1","RR-KID-000.00:001.67","BB AN","SS",NA,99,"OVERCAST","NO FISH NO REDDS",2015-01-27,"2014-2015",2015,0,0,0,0,0,0,0,0
"67","Austin Creek","AUS 7","RR-AUS-015.94:018.53","JB WB","SS",NA,99,"OVERCAST","NO REDDS OBSERVED ONE FISH",2015-01-27,"2014-2015",2015,0,0,0,0,0,0,0,0
"68","Porter Creek","POR 3","RR-POR-004.65:006.83","WB BB","SS",NA,99,"CLEAR SUNNY","NO FISH OR NEW REDDS",2015-01-28,"2014-2015",2015,0,0,0,0,0,0,0,0
"69","Porter Creek","POR 1","RR-POR-000.00:002.43","EM DD","SS",NA,99,"CLEAR SUNNY","Salmonid spine found during survey; Mouth of Porter is disconnected ~100' from upstream ",2015-01-28,"2014-2015",2015,0,0,0,0,0,0,0,0
"70","Woods Creek","WOO 1","RR-DEA-000.00:001.03","JB HF","SS",NA,99,"CLEAR SUNNY","Did not complete reach. Went about 500m above last redd. No spawning areas, plus time constraint",2015-01-29,"2014-2015",2015,0,0,0,0,0,0,0,0
"71","Pena Creek","PEN 4","RR-PEN-009.12:013.89","ADJ AN","SS",NA,99,"CLEAR SUNNY",NA,2015-01-05,"2014-2015",2015,0,0,0,0,0,0,0,0
"72","Purrington Creek","PUR 1","RR-PUR-000.00:004.50","AN SW","SS",NA,99,"CLEAR SUNNY","NO FISH",2015-01-06,"2014-2015",2015,0,0,0,0,0,0,0,0
"73","Dutch Bill Creek","DUT 1","RR-DUT-000.00:004.81","AN CT TB","SS",NA,99,"CLEAR SUNNY","NO REDDS",2015-01-07,"2014-2015",2015,0,0,0,0,0,0,0,0
"74","Mill Creek","MIL 4","RR-MIL-009.98:014.06","SN MH","SS",NA,99,"CLEAR SUNNY","NO NEW REDDS OR FISH",2015-01-07,"2014-2015",2015,0,0,0,0,0,0,0,0
"75","Felta Creek","FEL 1","RR-FEL-000.00:001.83","DD JS","SS",NA,4,"CLEAR SUNNY","Mouth of Felta connected but too shallow for fish passage; NO FISH NO REDDS",2015-01-07,"2014-2015",2015,0,0,0,0,0,0,0,0
"76","Mill Creek","MIL 5","RR-ANG-000.00:000.50","SN MH","SS",NA,99,"CLEAR SUNNY","NO FISH OR REDDS. OTTER",2015-01-07,"2014-2015",2015,0,0,0,0,0,0,0,0
"77","Willow Creek","WIL 3","RR-WIL-003.49:006.15","WB ZR","SS",NA,99,"PARTLY CLOUDY","beautiful day",2015-01-08,"2014-2015",2015,0,0,0,0,0,0,0,0
"78","Wine Creek","WIN 1","RR-WIN-000.00:001.65","JE MOH TB","SS",NA,99,"PARTLY CLOUDY","NO FISH NO REDDS",2015-01-08,"2014-2015",2015,0,0,0,0,0,0,0,0
"79","Santa Rosa Creek","SAN 9","RR-329-000.00:000.67","HF SW","SS",NA,99,"CLEAR SUNNY",NA,2015-01-08,"2014-2015",2015,0,0,0,0,0,0,0,0
"80","Wallace Creek","WAL 2","RR-WAL-001.83:004.43","HF BW","SS",NA,99,"OVERCAST",NA,2015-01-09,"2014-2015",2015,0,0,0,0,0,0,0,0
"81","Maacama Creek","MAA 1","RR-MAA-000.00:002.63","GH MO","SS",NA,99,"PARTLY CLOUDY",NA,2015-01-09,"2014-2015",2015,0,0,0,0,0,0,0,0
"82","Mark West Creek","MAR 10","RR-MAR-027.19:030.60","SW DD","SS",NA,99,"OVERCAST",NA,2015-01-12,"2014-2015",2015,0,0,0,0,0,0,0,0
"83","East Austin Creek","EAU 1","RR-EAU-000.00:002.00","DD BCB","SS",NA,99,"CLEAR SUNNY",NA,2015-01-13,"2014-2015",2015,0,0,0,0,0,0,0,0
"84","Porter Creek","POR 3","RR-POR-004.65:006.83","WB EM ZS","SS",NA,99,"PARTLY CLOUDY","NO FISH OBSERVED",2015-01-14,"2014-2015",2015,0,0,0,0,0,0,0,0
"85","Sheephouse Creek","SHE 1","RR-SHE-000.00:003.55","DD SW","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS BUT OBSERVED PARR STHD 60-90MM AND PARR COHO APPROX. 100MM IN  SEVERAL POOLS WITH LWD",2015-01-14,"2014-2015",2015,0,0,0,0,0,0,0,0
"86","Porter Creek","POR 1","RR-POR-000.00:002.43","HF MW TB","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-01-14,"2014-2015",2015,0,0,0,0,0,0,0,0
"87","Pena Creek","PEN 4","RR-PEN-009.12:013.89","JP HF TB","SS",NA,99,"OVERCAST",NA,2015-01-15,"2014-2015",2015,0,0,0,0,0,0,0,0
"88","Mill Creek","MIL 3","RR-MIL-005.75:009.98","DD SW","SS",NA,99,"CLEAR SUNNY",NA,2015-01-20,"2014-2015",2015,0,0,0,0,0,0,0,0
"89","Purrington Creek","PUR 1","RR-PUR-000.00:004.50","AN JB","SS",NA,99,"CLEAR SUNNY","NO FISH NO NEW REDDS",2015-01-20,"2014-2015",2015,0,0,0,0,0,0,0,0
"90","Dutch Bill Creek","DUT 1","RR-DUT-000.00:004.81","MW DD","SS",NA,99,"OVERCAST",NA,2015-01-21,"2014-2015",2015,0,0,0,0,0,0,0,0
"91","Santa Rosa Creek","SAN 9","RR-329-000.00:000.67","SW SN","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-01-22,"2014-2015",2015,0,0,0,0,0,0,0,0
"92","Willow Creek","WIL 3","RR-WIL-003.49:006.15","WB MW","SS",NA,99,"CLEAR SUNNY","Reflagged 12/08/14 redd 002 (missing). 2 Resident fish 150-180mm. WIL3122914003 labelled incorrectly on flagging.",2015-01-22,"2014-2015",2015,0,0,0,0,0,0,0,0
"93","Redwood Creek","RED 1","RR-RED-000.00:001.66","HF ZR","SS",NA,99,"CLEAR SUNNY",NA,2015-01-23,"2014-2015",2015,0,0,0,0,0,0,0,0
"94","Redwood Creek","RED 2","RR-RED-001.66:004.58","HF ZR","SS",NA,99,"CLEAR SUNNY","upper section is not good habitat",2015-01-23,"2014-2015",2015,0,0,0,0,0,0,0,0
"95","Mark West Creek","MAR 12","RR-MAR-033.75:037.32","BB AN","SS",NA,99,"PARTLY CLOUDY","NO FISH NO REDDS, ended survey at bridge before Humbug Creek.",2015-01-26,"2014-2015",2015,0,0,0,0,0,0,0,0
"96","Pechaco Creek","PEC 1","RR-PEC-000.00:002.35","JB BW","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-02-13,"2014-2015",2015,0,0,0,0,0,0,0,0
"97","Kidd Creek","KID 1","RR-KID-000.00:001.67","JB BW","SS",NA,99,"OVERCAST","NO FISH NO REDDS",2015-02-17,"2014-2015",2015,0,0,0,0,0,0,0,0
"98","Mill Creek","MIL 5","RR-ANG-000.00:000.50","AJ DD","SS",NA,99,"CLEAR SUNNY","NO FISH; a couple possible redds observed throughout reach",2015-02-19,"2014-2015",2015,0,0,0,0,0,0,0,0
"99","Redwood Creek","RED 2","RR-RED-001.66:004.58","HF IV ZR","SS",NA,99,"PARTLY CLOUDY","NO FISH NO REDDS",2015-02-20,"2014-2015",2015,0,0,0,0,0,0,0,0
"100","Santa Rosa Creek","SAN 8","RR-SAN-025.32:028.22","BW SW","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-02-23,"2014-2015",2015,0,0,0,0,0,0,0,0
"101","Willow Creek","WIL 3","RR-WIL-003.49:006.15","DD MW","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-02-23,"2014-2015",2015,0,0,0,0,0,0,0,0
"102","Mark West Creek","MAR 14","RR-MAR-040.18:042.85","BW ZR","SS",NA,99,"CLEAR SUNNY",NA,2015-02-24,"2014-2015",2015,0,0,0,0,0,0,0,0
"103","Green Valley Creek","GRE 2","RR-GRE-012.49:016.09","EM ZR","SS",NA,99,"CLEAR SUNNY",NA,2015-02-25,"2014-2015",2015,0,0,0,0,0,0,0,0
"104","Woods Creek","WOO 1","RR-DEA-000.00:001.03","SW BW","SS",NA,99,"CLEAR SUNNY",NA,2015-02-25,"2014-2015",2015,0,0,0,0,0,0,0,0
"105","Mill Creek","MIL 2","RR-MIL-003.03:005.75","EM DD","SS",NA,99,"CLEAR SUNNY",NA,2015-02-26,"2014-2015",2015,0,0,0,0,0,0,0,0
"106","Wallace Creek","WAL 2","RR-WAL-001.83:004.43","SW HF","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-02-26,"2014-2015",2015,0,0,0,0,0,0,0,0
"107","Willow Creek","WIL 3","RR-WIL-003.49:006.15","JB EM","SS",NA,99,"PARTLY CLOUDY","NO FISH NO NEW REDDS. Gauge=1.92 @10:25",2015-03-02,"2014-2015",2015,0,0,0,0,0,0,0,0
"108","Mill Creek","MIL 4","RR-MIL-009.98:014.06","AN JB","SS",NA,99,"CLEAR SUNNY","NO FISH",2015-03-03,"2014-2015",2015,0,0,0,0,0,0,0,0
"109","Austin Creek","AUS 5","RR-AUS-009.86:012.13","AN LC SW","SS",NA,99,"CLEAR SUNNY","NO FISH NO REDDS",2015-03-05,"2014-2015",2015,0,0,0,0,0,0,0,0
"110","Austin Creek","AUS 7","RR-AUS-015.94:018.53","EM JB ZS","SS",NA,99,"CLEAR SUNNY",NA,2015-03-05,"2014-2015",2015,0,0,0,0,0,0,0,0
"111","Porter Creek","POR 1","RR-POR-000.00:002.43","JB DD","SS",NA,99,"CLEAR SUNNY",NA,2015-03-09,"2014-2015",2015,0,0,0,0,0,0,0,0
"112","Sheephouse Creek","SHE 1","RR-SHE-000.00:003.55","WB JB","SS",NA,99,"CLEAR SUNNY","Lamprey redds. No fish and no sal. Sp. Redds.",2015-03-10,"2014-2015",2015,0,0,0,0,0,0,0,0
"113","Grape Creek","GRP 2","RR-GRP-001.39:002.49","MW DD","SS",NA,99,"OVERCAST","NO FISH NO REDDS",2015-03-10,"2014-2015",2015,0,0,0,0,0,0,0,0
"114","Pena Creek","PEN 4","RR-PEN-009.12:013.89","WB JB","SS",NA,99,"PARTLY CLOUDY","Some redds seemed older, crew before possibly missed. Weather was all over, rain, sun, wind, clouds, overcast.",2015-03-11,"2014-2015",2015,0,0,0,0,0,0,0,0
"115","Mill Creek","MIL 1","RR-MIL-000.00:002.46","BB AB","SS",NA,99,"OVERCAST",NA,2015-03-16,"2014-2015",2015,0,0,0,0,0,0,0,0
"116","Mark West Creek","MAR 10","RR-MAR-027.19:030.60","AN SW","SS",NA,99,"CLEAR SUNNY",NA,2015-03-18,"2014-2015",2015,0,0,0,0,0,0,0,0
"117","East Austin Creek","EAU 1","RR-EAU-000.00:002.00","SW BW","SS",NA,99,"CLEAR SUNNY","No fish No redds",2015-03-19,"2014-2015",2015,0,0,0,0,0,0,0,0
"118","Redwood Creek","RED 1","RR-RED-000.00:001.66","AN RH","SS",NA,99,"PARTLY CLOUDY","No live fish, no new redds",2015-03-23,"2014-2015",2015,0,0,0,0,0,0,0,0
"119","Pena Creek","PEN 4","RR-PEN-009.12:013.89","JB,ZS,CR","SS",NA,99,"CLEAR SUNNY",NA,2015-03-25,"2014-2015",2015,0,0,0,0,0,0,0,0
"120","Mill Creek","MIL 2","RR-MIL-003.03:005.75","DD VA","SS",NA,99,"CLEAR SUNNY","NO NEW REDDS",2015-03-26,"2014-2015",2015,0,0,0,0,0,0,0,0
"121","Green Valley Creek","GRE 2","RR-GRE-012.49:016.09","AN WB","SS",NA,99,"CLEAR SUNNY","NO NEW FISH NO REDDS. Algae covering most of substrate",2015-01-30,"2014-2015",2015,0,0,0,0,0,0,0,0
"122","Pechaco Creek","PEC 1","RR-PEC-000.00:002.35","AN MW","SS",NA,99,"OVERCAST","NO FISH NO REDDS",2015-02-02,"2014-2015",2015,0,0,0,0,0,0,0,0
"123","Mill Creek","MIL 1","RR-MIL-000.00:002.46","BCB HF","SS",NA,99,"CLEAR SUNNY","NO FISH",2015-02-03,"2014-2015",2015,0,0,0,0,0,0,0,0
"124","Dutch Bill Creek","DUT 2","RR-DUT-004.81:009.04","ZR CT","SS",NA,99,"CLEAR SUNNY","no new fish no new redds",2015-02-03,"2014-2015",2015,0,0,0,0,0,0,0,0
"125","Willow Creek","WIL 3","RR-WIL-003.49:006.15","NB EM","SS",NA,99,"PARTLY CLOUDY","very low water. Staff @ 1.81 ft at 10:23am",2015-02-04,"2014-2015",2015,0,0,0,0,0,0,0,0
"126","Mark West Creek","MAR 10","RR-MAR-027.19:030.60","BCB DD","SS",NA,99,"OVERCAST","NO FISH NO NEW REDDS",2015-02-05,"2014-2015",2015,0,0,0,0,0,0,0,0
"127","Mark West Creek","MAR 11","RR-MAR-030.60:033.75","BCB DD","SS",NA,99,"OVERCAST","NO FISH NO NEW REDDS",2015-02-05,"2014-2015",2015,0,0,0,0,0,0,0,0
"128","Green Valley Creek","GRE 2","RR-GRE-012.49:016.09","WB BW","SS",NA,-9999,"PARTLY CLOUDY",NA,2015-02-11,"2014-2015",2015,0,0,0,0,0,0,0,0
"129","Pena Creek","PEN 5","RR-PEN-013.89:017.04","NB SW","SS",NA,0.6,"CLEAR SUNNY",NA,2015-02-13,"2014-2015",2015,0,0,0,0,0,0,0,0
"130","Pena Creek","PEN 3","RR-PEN-006.49:009.12","HF WB IV","SS",NA,1.2,"CLEAR SUNNY",NA,2015-02-13,"2014-2015",2015,0,0,0,0,0,0,0,0
"131","East Austin Creek","EAU 1","RR-EAU-000.00:002.00","JB BW","SS",NA,99,"OVERCAST","NO FISH NO REDDS",2015-02-17,"2014-2015",2015,0,0,0,0,0,0,0,0
"132","Mill Creek","MIL 3","RR-MIL-005.75:009.98","AN BB TB","SS",NA,99,"OVERCAST","NO FISH, 3 NEW REDDS, BLUE FLAGGING WAS USED TO MARK REDDS, THERE IS AN ADDITIONAL REDD LOCATED ABOVE ANTENNA MIL-6.10 THAT NEEDS TO BE FLAGGED AND WORKED UP NEXT TIME REACH IS SURVEYED",2015-02-18,"2014-2015",2015,0,0,0,0,0,0,0,0
